,_id,vehicleid,reservationno,logtime,latitude,longitude,speed,heading,hdop,fuel,charge,km,doorlockstate,enginestate
6096,ObjectId(5db7a4b85fa5403970b84134),305,0,2019-10-29T09:32:24.286+07:00,14.07359,100.60229,0,121,12.41,-1.0,11.32,1679.3398226703198,UNLOCK,STOP
6097,ObjectId(5db7a5ce5fa5403970b84140),305,0,2019-10-29T09:37:02.028+07:00,14.07359,100.60229,0,121,12.41,-1.0,11.32,1679.3398226703198,UNLOCK,STOP
6098,ObjectId(5db7a5cf5fa5403970b84141),305,0,2019-10-29T09:37:02.826+07:00,14.07359,100.60229,0,121,12.41,-1.0,11.32,1679.3398226703198,UNLOCK,STOP
6099,ObjectId(5db7a5e45fa5403970b84145),305,0,2019-10-29T09:37:24.468+07:00,14.07359,100.60229,0,121,12.41,-1.0,11.32,1679.3398226703198,UNLOCK,STOP
6100,ObjectId(5db7a6fa5fa5403970b84156),305,0,2019-10-29T09:42:02.037+07:00,14.07359,100.60229,0,121,12.41,-1.0,11.32,1679.3398226703198,UNLOCK,STOP
6101,ObjectId(5db7a6fb5fa5403970b84157),305,0,2019-10-29T09:42:02.769+07:00,14.07359,100.60229,0,121,12.41,-1.0,11.32,1679.3398226703198,UNLOCK,STOP
6102,ObjectId(5db7a7115fa5403970b84158),305,0,2019-10-29T09:42:24.598+07:00,14.07359,100.60229,0,121,12.41,-1.0,11.28,1679.3398226703198,UNLOCK,STOP
6103,ObjectId(5db7a8265fa5403970b84169),305,0,2019-10-29T09:47:02.005+07:00,14.07359,100.60229,0,121,12.41,-1.0,11.28,1679.3398226703198,UNLOCK,STOP
6104,ObjectId(5db7a8265fa5403970b8416a),305,0,2019-10-29T09:47:02.602+07:00,14.07359,100.60229,0,121,12.41,-1.0,11.28,1679.3398226703198,UNLOCK,STOP
6105,ObjectId(5db7a83c5fa5403970b8416b),305,0,2019-10-29T09:47:24.107+07:00,14.07359,100.60229,0,121,12.41,-1.0,11.28,1679.3398226703198,UNLOCK,STOP
6106,ObjectId(5db7a9525fa5403970b84176),305,0,2019-10-29T09:52:02.025+07:00,14.07359,100.60229,0,121,12.41,-1.0,11.28,1679.3398226703198,UNLOCK,STOP
6107,ObjectId(5db7a9525fa5403970b84177),305,0,2019-10-29T09:52:02.625+07:00,14.07359,100.60229,0,121,12.41,-1.0,11.28,1679.3398226703198,UNLOCK,STOP
6108,ObjectId(5db7a9685fa5403970b8417b),305,0,2019-10-29T09:52:24.284+07:00,14.07359,100.60229,0,121,12.41,-1.0,11.32,1679.3398226703198,UNLOCK,STOP
6109,ObjectId(5db7aa7e5fa5403970b8418e),305,0,2019-10-29T09:57:02.022+07:00,14.07359,100.60229,0,121,12.41,-1.0,11.32,1679.3398226703198,UNLOCK,STOP
6110,ObjectId(5db7aa7f5fa5403970b8418f),305,0,2019-10-29T09:57:02.86+07:00,14.07359,100.60229,0,121,12.41,-1.0,11.32,1679.3398226703198,UNLOCK,STOP
6111,ObjectId(5db7aa945fa5403970b84190),305,0,2019-10-29T09:57:24.407+07:00,14.07359,100.60229,0,121,12.41,-1.0,11.28,1679.3398226703198,UNLOCK,STOP
6112,ObjectId(5db7abaa5fa5403970b841a3),305,0,2019-10-29T10:02:02.029+07:00,14.07359,100.60229,0,121,12.41,-1.0,11.28,1679.3398226703198,UNLOCK,STOP
6113,ObjectId(5db7abab5fa5403970b841a4),305,0,2019-10-29T10:02:02.67+07:00,14.07359,100.60229,0,121,12.41,-1.0,11.28,1679.3398226703198,UNLOCK,STOP
6114,ObjectId(5db7abc05fa5403970b841a5),305,0,2019-10-29T10:02:23.984+07:00,14.07359,100.60229,0,121,12.41,-1.0,11.24,1679.3398226703198,UNLOCK,STOP
6115,ObjectId(5db7acd75fa5403970b841b5),305,0,2019-10-29T10:07:01.993+07:00,14.07359,100.60229,0,121,12.41,-1.0,11.24,1679.3398226703198,UNLOCK,STOP
6116,ObjectId(5db7acd75fa5403970b841b6),305,0,2019-10-29T10:07:03.272+07:00,14.07359,100.60229,0,121,12.41,-1.0,11.24,1679.3398226703198,UNLOCK,STOP
6117,ObjectId(5db7ae0a5fa5403970b841ca),305,0,2019-10-29T10:12:10.486+07:00,14.07359,100.60229,0,0,12.41,-1.0,11.24,1679.3398226703198,UNLOCK,STOP
6118,ObjectId(5db7ae0b5fa5403970b841cb),305,0,2019-10-29T10:12:11.066+07:00,14.07359,100.60229,0,0,12.41,-1.0,11.24,1679.3398226703198,UNLOCK,STOP
