,lat,long,enginestate,logtime
<<<<<<< HEAD
0,13.75747,100.48985,STOP,2019-11-05T17:24:59.59+07:00
=======
0,13.75756,100.48997,STOP,2019-10-31T09:50:48.362+07:00
>>>>>>> 85de8b02ef6dfd9965d5c7d6bcb0e712036b0857
